IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.67.102.135,4,4,0.00,1.59,0.00,N/A
104.24.78.164,4,4,0.00,1.59,0.00,N/A
172.67.124.57,4,4,0.00,1.59,0.00,N/A
104.21.103.174,4,4,0.00,1.59,0.00,N/A
172.66.46.165,4,4,0.00,1.60,0.00,N/A
172.65.14.183,4,4,0.00,1.60,0.00,N/A
172.65.71.100,4,4,0.00,1.60,0.00,N/A
162.159.129.233,4,4,0.00,1.60,0.00,N/A
172.65.166.199,4,4,0.00,1.60,0.00,N/A
172.65.181.203,4,4,0.00,1.60,0.00,N/A
104.21.60.241,4,4,0.00,1.60,0.00,N/A
172.67.184.11,4,4,0.00,1.60,0.00,N/A
104.21.38.101,4,4,0.00,1.61,0.00,N/A
104.21.200.143,4,4,0.00,1.61,0.00,N/A
172.65.52.97,4,4,0.00,1.61,0.00,N/A
172.65.8.12,4,4,0.00,1.61,0.00,N/A
172.67.205.45,4,4,0.00,1.61,0.00,N/A
172.67.106.65,4,4,0.00,1.61,0.00,N/A
104.27.5.116,4,4,0.00,1.61,0.00,N/A
172.67.201.87,4,4,0.00,1.61,0.00,N/A
172.65.47.220,4,4,0.00,1.61,0.00,N/A
172.64.97.102,4,4,0.00,1.61,0.00,N/A
104.24.71.182,4,4,0.00,1.61,0.00,N/A
172.66.40.211,4,4,0.00,1.62,0.00,N/A
172.67.68.103,4,4,0.00,1.62,0.00,N/A
172.65.217.197,4,4,0.00,1.62,0.00,N/A
172.67.169.144,4,4,0.00,1.62,0.00,N/A
104.21.107.115,4,4,0.00,1.62,0.00,N/A
162.159.202.162,4,4,0.00,1.62,0.00,N/A
162.159.133.105,4,4,0.00,1.63,0.00,N/A
104.21.8.220,4,4,0.00,1.63,0.00,N/A
172.65.10.134,4,4,0.00,1.63,0.00,N/A
172.65.27.17,4,4,0.00,1.63,0.00,N/A
104.24.1.236,4,4,0.00,1.63,0.00,N/A
104.21.193.17,4,4,0.00,1.63,0.00,N/A
104.24.73.210,4,4,0.00,1.63,0.00,N/A
172.67.171.190,4,4,0.00,1.64,0.00,N/A
172.67.74.128,4,4,0.00,1.64,0.00,N/A
104.21.84.155,4,4,0.00,1.64,0.00,N/A
172.67.114.135,4,4,0.00,1.64,0.00,N/A
172.67.111.200,4,4,0.00,1.64,0.00,N/A
172.64.94.88,4,4,0.00,1.64,0.00,N/A
104.24.8.229,4,4,0.00,1.65,0.00,N/A
104.21.115.188,4,4,0.00,1.65,0.00,N/A
172.67.234.166,4,4,0.00,1.65,0.00,N/A
172.66.45.206,4,4,0.00,1.65,0.00,N/A
104.21.29.201,4,4,0.00,1.65,0.00,N/A
172.65.48.189,4,4,0.00,1.65,0.00,N/A
104.21.110.193,4,4,0.00,1.65,0.00,N/A
104.24.47.165,4,4,0.00,1.66,0.00,N/A
172.67.122.219,4,4,0.00,1.66,0.00,N/A
172.67.112.130,4,4,0.00,1.66,0.00,N/A
104.24.86.6,4,4,0.00,1.66,0.00,N/A
104.21.102.145,4,4,0.00,1.66,0.00,N/A
104.21.108.204,4,4,0.00,1.66,0.00,N/A
172.65.157.87,4,4,0.00,1.66,0.00,N/A
104.24.4.121,4,4,0.00,1.66,0.00,N/A
172.65.68.130,4,4,0.00,1.66,0.00,N/A
104.24.43.125,4,4,0.00,1.66,0.00,N/A
172.64.96.237,4,4,0.00,1.67,0.00,N/A
104.27.196.26,4,4,0.00,1.67,0.00,N/A
172.67.77.33,4,4,0.00,1.67,0.00,N/A
172.67.248.221,4,4,0.00,1.67,0.00,N/A
172.67.249.55,4,4,0.00,1.67,0.00,N/A
172.64.158.131,4,4,0.00,1.67,0.00,N/A
172.64.184.41,4,4,0.00,1.67,0.00,N/A
172.67.79.133,4,4,0.00,1.67,0.00,N/A
162.159.136.56,4,4,0.00,1.67,0.00,N/A
104.24.81.228,4,4,0.00,1.68,0.00,N/A
172.67.236.131,4,4,0.00,1.68,0.00,N/A
104.21.62.39,4,4,0.00,1.68,0.00,N/A
172.67.210.247,4,4,0.00,1.68,0.00,N/A
172.67.123.249,4,4,0.00,1.68,0.00,N/A
172.65.46.252,4,4,0.00,1.68,0.00,N/A
172.64.53.47,4,4,0.00,1.68,0.00,N/A
104.21.78.125,4,4,0.00,1.69,0.00,N/A
172.65.35.11,4,4,0.00,1.69,0.00,N/A
172.64.157.228,4,4,0.00,1.69,0.00,N/A
104.21.73.23,4,4,0.00,1.69,0.00,N/A
104.21.1.152,4,4,0.00,1.70,0.00,N/A
104.21.46.28,4,4,0.00,1.70,0.00,N/A
172.64.77.173,4,4,0.00,1.70,0.00,N/A
104.21.207.112,4,4,0.00,1.70,0.00,N/A
104.27.198.78,4,4,0.00,1.70,0.00,N/A
104.24.52.210,4,4,0.00,1.70,0.00,N/A
172.67.254.117,4,4,0.00,1.70,0.00,N/A
104.21.120.47,4,4,0.00,1.70,0.00,N/A
172.65.152.242,4,4,0.00,1.71,0.00,N/A
162.159.143.185,4,4,0.00,1.71,0.00,N/A
172.65.155.6,4,4,0.00,1.71,0.00,N/A
104.24.44.202,4,4,0.00,1.71,0.00,N/A
172.67.251.46,4,4,0.00,1.71,0.00,N/A
172.65.98.133,4,4,0.00,1.72,0.00,N/A
104.24.55.70,4,4,0.00,1.72,0.00,N/A
172.67.243.155,4,4,0.00,1.73,0.00,N/A
172.64.159.107,4,4,0.00,1.73,0.00,N/A
172.65.154.173,4,4,0.00,1.73,0.00,N/A
104.21.30.69,4,4,0.00,1.73,0.00,N/A
162.159.130.188,4,4,0.00,1.73,0.00,N/A
172.64.81.211,4,4,0.00,1.73,0.00,N/A
104.21.56.173,4,4,0.00,1.73,0.00,N/A
172.64.151.198,4,4,0.00,1.73,0.00,N/A
104.27.197.225,4,4,0.00,1.74,0.00,N/A
172.67.240.81,4,4,0.00,1.74,0.00,N/A
162.159.153.111,4,4,0.00,1.74,0.00,N/A
104.27.195.222,4,4,0.00,1.75,0.00,N/A
172.64.176.137,4,4,0.00,1.75,0.00,N/A
172.67.116.131,4,4,0.00,1.75,0.00,N/A
104.29.135.75,4,4,0.00,1.75,0.00,N/A
172.66.130.237,4,4,0.00,1.75,0.00,N/A
172.67.130.63,4,4,0.00,1.75,0.00,N/A
172.67.181.251,4,4,0.00,1.76,0.00,N/A
172.65.159.210,4,4,0.00,1.76,0.00,N/A
172.67.189.7,4,4,0.00,1.76,0.00,N/A
172.66.1.93,4,4,0.00,1.76,0.00,N/A
104.21.37.50,4,4,0.00,1.76,0.00,N/A
104.27.206.247,4,4,0.00,1.77,0.00,N/A
172.67.109.138,4,4,0.00,1.77,0.00,N/A
104.24.56.65,4,4,0.00,1.77,0.00,N/A
172.64.188.188,4,4,0.00,1.77,0.00,N/A
172.67.165.74,4,4,0.00,1.77,0.00,N/A
104.21.25.84,4,4,0.00,1.78,0.00,N/A
172.65.189.137,4,4,0.00,1.78,0.00,N/A
172.65.49.35,4,4,0.00,1.78,0.00,N/A
172.64.80.106,4,4,0.00,1.78,0.00,N/A
172.64.146.239,4,4,0.00,1.79,0.00,N/A
104.27.202.62,4,4,0.00,1.79,0.00,N/A
104.21.204.43,4,4,0.00,1.79,0.00,N/A
104.24.9.128,4,4,0.00,1.79,0.00,N/A
172.64.147.77,4,4,0.00,1.79,0.00,N/A
172.67.209.19,4,4,0.00,1.79,0.00,N/A
104.24.75.130,4,4,0.00,1.80,0.00,N/A
104.21.77.65,4,4,0.00,1.80,0.00,N/A
172.65.53.120,4,4,0.00,1.80,0.00,N/A
104.24.84.216,4,4,0.00,1.81,0.00,N/A
172.67.70.21,4,4,0.00,1.81,0.00,N/A
172.67.241.216,4,4,0.00,1.81,0.00,N/A
172.67.233.53,4,4,0.00,1.81,0.00,N/A
104.24.51.237,4,4,0.00,1.82,0.00,N/A
104.27.193.174,4,4,0.00,1.82,0.00,N/A
172.64.98.62,4,4,0.00,1.83,0.00,N/A
198.41.216.172,4,4,0.00,1.83,0.00,N/A
172.67.242.97,4,4,0.00,1.83,0.00,N/A
104.21.106.2,4,4,0.00,1.83,0.00,N/A
172.67.186.234,4,4,0.00,1.83,0.00,N/A
104.21.205.31,4,4,0.00,1.83,0.00,N/A
172.65.40.182,4,4,0.00,1.83,0.00,N/A
172.67.232.231,4,4,0.00,1.84,0.00,N/A
172.64.149.88,4,4,0.00,1.85,0.00,N/A
172.67.65.75,4,4,0.00,1.85,0.00,N/A
104.21.199.209,4,4,0.00,1.85,0.00,N/A
162.159.207.126,4,4,0.00,1.85,0.00,N/A
104.21.201.188,4,4,0.00,1.85,0.00,N/A
172.67.175.87,4,4,0.00,1.85,0.00,N/A
172.65.156.0,4,4,0.00,1.85,0.00,N/A
172.67.176.84,4,4,0.00,1.86,0.00,N/A
172.67.132.222,4,4,0.00,1.86,0.00,N/A
172.67.101.238,4,4,0.00,1.86,0.00,N/A
104.21.114.142,4,4,0.00,1.86,0.00,N/A
104.27.14.58,4,4,0.00,1.86,0.00,N/A
104.21.63.107,4,4,0.00,1.86,0.00,N/A
172.67.225.162,4,4,0.00,1.87,0.00,N/A
104.24.6.233,4,4,0.00,1.87,0.00,N/A
172.67.226.67,4,4,0.00,1.87,0.00,N/A
172.67.134.103,4,4,0.00,1.87,0.00,N/A
172.67.246.3,4,4,0.00,1.88,0.00,N/A
104.24.67.55,4,4,0.00,1.88,0.00,N/A
172.67.67.3,4,4,0.00,1.88,0.00,N/A
172.66.41.134,4,4,0.00,1.88,0.00,N/A
172.67.204.243,4,4,0.00,1.88,0.00,N/A
104.21.26.182,4,4,0.00,1.88,0.00,N/A
104.24.69.55,4,4,0.00,1.89,0.00,N/A
104.24.54.7,4,4,0.00,1.89,0.00,N/A
172.67.128.100,4,4,0.00,1.89,0.00,N/A
172.67.69.30,4,4,0.00,1.89,0.00,N/A
172.67.164.104,4,4,0.00,1.90,0.00,N/A
172.64.90.204,4,4,0.00,1.90,0.00,N/A
172.64.101.229,4,4,0.00,1.90,0.00,N/A
172.64.156.31,4,4,0.00,1.90,0.00,N/A
104.24.72.122,4,4,0.00,1.90,0.00,N/A
198.41.209.138,4,4,0.00,1.90,0.00,N/A
104.21.232.199,4,4,0.00,1.90,0.00,N/A
104.21.197.195,4,4,0.00,1.90,0.00,N/A
172.64.69.30,4,4,0.00,1.91,0.00,N/A
172.64.66.67,4,4,0.00,1.91,0.00,N/A
104.24.134.150,4,4,0.00,1.91,0.00,N/A
172.67.104.106,4,4,0.00,1.92,0.00,N/A
172.66.44.52,4,4,0.00,1.92,0.00,N/A
172.64.84.36,4,4,0.00,1.92,0.00,N/A
104.24.48.115,4,4,0.00,1.93,0.00,N/A
172.67.64.77,4,4,0.00,1.93,0.00,N/A
162.159.198.196,4,4,0.00,1.93,0.00,N/A
104.24.142.59,4,4,0.00,1.95,0.00,N/A
104.21.239.134,4,4,0.00,1.95,0.00,N/A
172.64.72.170,4,4,0.00,1.95,0.00,N/A
172.64.186.87,4,4,0.00,1.95,0.00,N/A
172.64.92.208,4,4,0.00,1.95,0.00,N/A
172.67.66.196,4,4,0.00,1.96,0.00,N/A
172.67.177.94,4,4,0.00,1.96,0.00,N/A
104.21.238.250,4,4,0.00,1.96,0.00,N/A
172.65.109.52,4,4,0.00,1.96,0.00,N/A
172.67.179.24,4,4,0.00,1.96,0.00,N/A
172.67.183.32,4,4,0.00,1.97,0.00,N/A
172.67.126.94,4,4,0.00,1.97,0.00,N/A
172.64.67.95,4,4,0.00,1.97,0.00,N/A
104.21.24.251,4,4,0.00,1.98,0.00,N/A
162.159.205.88,4,4,0.00,1.98,0.00,N/A
198.41.211.171,4,4,0.00,1.98,0.00,N/A
104.21.79.28,4,4,0.00,1.99,0.00,N/A
172.67.174.39,4,4,0.00,1.99,0.00,N/A
172.64.91.222,4,4,0.00,1.99,0.00,N/A
104.21.61.125,4,4,0.00,1.99,0.00,N/A
104.24.57.108,4,4,0.00,1.99,0.00,N/A
172.64.74.225,4,4,0.00,2.00,0.00,N/A
104.27.6.216,4,4,0.00,2.01,0.00,N/A
172.67.127.83,4,4,0.00,2.01,0.00,N/A
172.67.247.196,4,4,0.00,2.01,0.00,N/A
172.67.237.1,4,4,0.00,2.01,0.00,N/A
172.67.180.85,4,4,0.00,2.02,0.00,N/A
172.67.152.254,4,4,0.00,2.02,0.00,N/A
172.67.194.9,4,4,0.00,2.02,0.00,N/A
104.24.66.39,4,4,0.00,2.03,0.00,N/A
172.67.197.239,4,4,0.00,2.04,0.00,N/A
172.67.193.67,4,4,0.00,2.04,0.00,N/A
172.67.229.17,4,4,0.00,2.04,0.00,N/A
172.64.95.192,4,4,0.00,2.04,0.00,N/A
172.64.83.0,4,4,0.00,2.05,0.00,N/A
172.67.223.244,4,4,0.00,2.06,0.00,N/A
172.64.89.68,4,4,0.00,2.06,0.00,N/A
172.67.207.243,4,4,0.00,2.06,0.00,N/A
104.27.7.247,4,4,0.00,2.07,0.00,N/A
172.67.161.226,4,4,0.00,2.07,0.00,N/A
172.67.227.14,4,4,0.00,2.07,0.00,N/A
104.21.221.40,4,4,0.00,2.08,0.00,N/A
104.24.148.109,4,4,0.00,2.09,0.00,N/A
162.159.194.195,4,4,0.00,2.09,0.00,N/A
104.21.214.193,4,4,0.00,2.09,0.00,N/A
172.67.168.60,4,4,0.00,2.09,0.00,N/A
172.67.121.11,4,4,0.00,2.09,0.00,N/A
172.67.98.108,4,4,0.00,2.10,0.00,N/A
104.24.132.127,4,4,0.00,2.10,0.00,N/A
162.159.229.53,4,4,0.00,2.11,0.00,N/A
172.64.87.119,4,4,0.00,2.11,0.00,N/A
172.67.143.120,4,4,0.00,2.11,0.00,N/A
172.67.167.71,4,4,0.00,2.11,0.00,N/A
198.41.193.187,4,4,0.00,2.12,0.00,N/A
104.24.168.243,4,4,0.00,2.12,0.00,N/A
172.67.196.128,4,4,0.00,2.13,0.00,N/A
162.159.231.178,4,4,0.00,2.13,0.00,N/A
172.67.235.183,4,4,0.00,2.13,0.00,N/A
172.67.147.206,4,4,0.00,2.13,0.00,N/A
172.67.166.173,4,4,0.00,2.13,0.00,N/A
198.41.214.79,4,4,0.00,2.13,0.00,N/A
172.67.185.59,4,4,0.00,2.14,0.00,N/A
198.41.222.82,4,4,0.00,2.14,0.00,N/A
172.65.153.46,4,4,0.00,2.14,0.00,N/A
172.64.86.193,4,4,0.00,2.14,0.00,N/A
172.67.173.219,4,4,0.00,2.14,0.00,N/A
104.21.235.57,4,4,0.00,2.15,0.00,N/A
104.21.213.78,4,4,0.00,2.15,0.00,N/A
172.67.141.68,4,4,0.00,2.15,0.00,N/A
172.67.81.83,4,4,0.00,2.15,0.00,N/A
172.64.93.227,4,4,0.00,2.16,0.00,N/A
162.159.192.81,4,4,0.00,2.16,0.00,N/A
104.24.133.164,4,4,0.00,2.17,0.00,N/A
172.67.157.240,4,4,0.00,2.17,0.00,N/A
172.67.212.164,4,4,0.00,2.17,0.00,N/A
172.67.203.101,4,4,0.00,2.18,0.00,N/A
172.64.88.131,4,4,0.00,2.18,0.00,N/A
198.41.219.185,4,4,0.00,2.18,0.00,N/A
198.41.217.53,4,4,0.00,2.19,0.00,N/A
162.159.199.227,4,4,0.00,2.20,0.00,N/A
198.41.195.217,4,4,0.00,2.20,0.00,N/A
172.67.228.42,4,4,0.00,2.20,0.00,N/A
104.21.116.95,4,4,0.00,2.21,0.00,N/A
198.41.199.123,4,4,0.00,2.22,0.00,N/A
172.67.150.250,4,4,0.00,2.22,0.00,N/A
172.67.156.43,4,4,0.00,2.22,0.00,N/A
104.21.209.1,4,4,0.00,2.22,0.00,N/A
104.21.229.190,4,4,0.00,2.24,0.00,N/A
104.21.7.121,4,4,0.00,2.24,0.00,N/A
104.21.75.10,4,4,0.00,2.25,0.00,N/A
172.67.195.190,4,4,0.00,2.25,0.00,N/A
172.67.158.53,4,4,0.00,2.25,0.00,N/A
198.41.207.92,4,4,0.00,2.26,0.00,N/A
172.67.245.62,4,4,0.00,2.26,0.00,N/A
104.24.62.185,4,4,0.00,2.26,0.00,N/A
172.67.213.204,4,4,0.00,2.26,0.00,N/A
172.67.162.193,4,4,0.00,2.26,0.00,N/A
172.67.93.52,4,4,0.00,2.27,0.00,N/A
172.67.94.133,4,4,0.00,2.27,0.00,N/A
172.67.119.190,4,4,0.00,2.27,0.00,N/A
172.67.160.153,4,4,0.00,2.27,0.00,N/A
162.159.196.152,4,4,0.00,2.28,0.00,N/A
162.159.201.68,4,4,0.00,2.28,0.00,N/A
104.21.211.213,4,4,0.00,2.28,0.00,N/A
104.21.224.68,4,4,0.00,2.29,0.00,N/A
172.67.224.247,4,4,0.00,2.29,0.00,N/A
172.67.221.8,4,4,0.00,2.30,0.00,N/A
172.67.137.143,4,4,0.00,2.30,0.00,N/A
104.21.208.39,4,4,0.00,2.30,0.00,N/A
172.67.118.122,4,4,0.00,2.30,0.00,N/A
104.21.234.184,4,4,0.00,2.30,0.00,N/A
172.67.100.223,4,4,0.00,2.31,0.00,N/A
104.24.161.241,4,4,0.00,2.32,0.00,N/A
172.67.222.238,4,4,0.00,2.32,0.00,N/A
104.21.212.2,4,4,0.00,2.33,0.00,N/A
104.21.210.56,4,4,0.00,2.34,0.00,N/A
172.64.85.53,4,4,0.00,2.34,0.00,N/A
104.21.231.49,4,4,0.00,2.35,0.00,N/A
104.27.16.31,4,4,0.00,2.36,0.00,N/A
104.21.226.157,4,4,0.00,2.36,0.00,N/A
198.41.223.20,4,4,0.00,2.36,0.00,N/A
172.67.200.127,4,4,0.00,2.36,0.00,N/A
172.67.216.48,4,4,0.00,2.36,0.00,N/A
172.67.96.85,4,4,0.00,2.37,0.00,N/A
172.67.163.213,4,4,0.00,2.37,0.00,N/A
104.27.9.55,4,4,0.00,2.38,0.00,N/A
172.67.191.171,4,4,0.00,2.39,0.00,N/A
172.67.95.24,4,4,0.00,2.39,0.00,N/A
172.67.178.44,4,4,0.00,2.40,0.00,N/A
172.67.217.215,4,4,0.00,2.40,0.00,N/A
162.159.193.35,4,4,0.00,2.40,0.00,N/A
104.21.237.107,4,4,0.00,2.41,0.00,N/A
104.24.135.68,4,4,0.00,2.41,0.00,N/A
104.24.141.151,4,4,0.00,2.42,0.00,N/A
172.67.84.132,4,4,0.00,2.43,0.00,N/A
104.29.158.251,4,4,0.00,2.43,0.00,N/A
172.67.146.34,4,4,0.00,2.43,0.00,N/A
104.21.228.190,4,4,0.00,2.43,0.00,N/A
104.24.145.241,4,4,0.00,2.43,0.00,N/A
104.21.233.98,4,4,0.00,2.44,0.00,N/A
172.67.138.22,4,4,0.00,2.45,0.00,N/A
172.67.219.125,4,4,0.00,2.46,0.00,N/A
172.67.211.70,4,4,0.00,2.46,0.00,N/A
172.67.218.109,4,4,0.00,2.47,0.00,N/A
104.21.218.85,4,4,0.00,2.47,0.00,N/A
172.67.198.241,4,4,0.00,2.48,0.00,N/A
104.21.236.4,4,4,0.00,2.48,0.00,N/A
172.67.82.5,4,4,0.00,2.48,0.00,N/A
172.67.125.61,4,4,0.00,2.49,0.00,N/A
172.67.190.192,4,4,0.00,2.49,0.00,N/A
172.67.151.191,4,4,0.00,2.50,0.00,N/A
104.21.220.128,4,4,0.00,2.50,0.00,N/A
198.41.205.127,4,4,0.00,2.52,0.00,N/A
104.24.166.167,4,4,0.00,2.53,0.00,N/A
104.21.230.212,4,4,0.00,2.53,0.00,N/A
172.67.140.243,4,4,0.00,2.53,0.00,N/A
172.67.97.79,4,4,0.00,2.54,0.00,N/A
172.67.199.244,4,4,0.00,2.55,0.00,N/A
104.21.225.83,4,4,0.00,2.56,0.00,N/A
198.41.204.107,4,4,0.00,2.56,0.00,N/A
198.41.196.41,4,4,0.00,2.56,0.00,N/A
172.67.220.155,4,4,0.00,2.57,0.00,N/A
172.67.99.145,4,4,0.00,2.57,0.00,N/A
104.27.33.205,4,4,0.00,2.59,0.00,N/A
172.67.170.153,4,4,0.00,2.60,0.00,N/A
104.27.27.48,4,4,0.00,2.61,0.00,N/A
104.24.143.237,4,4,0.00,2.62,0.00,N/A
172.67.215.192,4,4,0.00,2.63,0.00,N/A
198.41.215.87,4,4,0.00,2.63,0.00,N/A
172.67.142.99,4,4,0.00,2.63,0.00,N/A
198.41.206.217,4,4,0.00,2.65,0.00,N/A
162.159.213.49,4,4,0.00,2.65,0.00,N/A
162.159.212.42,4,4,0.00,2.66,0.00,N/A
172.67.155.49,4,4,0.00,2.68,0.00,N/A
172.67.92.15,4,4,0.00,2.69,0.00,N/A
172.67.80.70,4,4,0.00,2.69,0.00,N/A
172.67.144.172,4,4,0.00,2.70,0.00,N/A
172.66.135.146,4,4,0.00,2.72,0.00,N/A
108.162.195.83,4,4,0.00,2.72,0.00,N/A
172.66.134.108,4,4,0.00,2.72,0.00,N/A
104.21.227.203,4,4,0.00,2.72,0.00,N/A
172.67.148.191,4,4,0.00,2.73,0.00,N/A
104.27.20.179,4,4,0.00,2.73,0.00,N/A
172.67.159.53,4,4,0.00,2.74,0.00,N/A
104.24.153.117,4,4,0.00,2.74,0.00,N/A
104.21.223.177,4,4,0.00,2.74,0.00,N/A
172.67.136.84,4,4,0.00,2.76,0.00,N/A
162.159.197.80,4,4,0.00,2.77,0.00,N/A
172.64.79.37,4,4,0.00,2.79,0.00,N/A
104.21.216.59,4,4,0.00,2.80,0.00,N/A
198.41.203.209,4,4,0.00,2.81,0.00,N/A
104.24.182.84,4,4,0.00,2.81,0.00,N/A
172.67.149.239,4,4,0.00,2.81,0.00,N/A
198.41.198.245,4,4,0.00,2.82,0.00,N/A
172.67.91.38,4,4,0.00,2.83,0.00,N/A
104.24.38.10,4,4,0.00,2.85,0.00,N/A
198.41.202.134,4,4,0.00,2.86,0.00,N/A
104.21.222.249,4,4,0.00,2.86,0.00,N/A
172.67.153.8,4,4,0.00,2.86,0.00,N/A
198.41.197.115,4,4,0.00,2.87,0.00,N/A
172.67.86.86,4,4,0.00,2.88,0.00,N/A
104.24.136.52,4,4,0.00,2.88,0.00,N/A
104.24.139.94,4,4,0.00,2.88,0.00,N/A
172.66.143.153,4,4,0.00,2.88,0.00,N/A
104.27.32.81,4,4,0.00,2.89,0.00,N/A
104.24.147.54,4,4,0.00,2.89,0.00,N/A
172.67.202.171,4,4,0.00,2.90,0.00,N/A
198.41.200.147,4,4,0.00,2.91,0.00,N/A
162.159.230.122,4,4,0.00,2.91,0.00,N/A
172.67.89.197,4,4,0.00,2.92,0.00,N/A
172.67.85.133,4,4,0.00,2.92,0.00,N/A
141.101.123.199,4,4,0.00,2.92,0.00,N/A
172.67.87.155,4,4,0.00,2.92,0.00,N/A
198.41.201.149,4,4,0.00,2.93,0.00,N/A
104.27.24.27,4,4,0.00,2.93,0.00,N/A
141.101.120.136,4,4,0.00,2.94,0.00,N/A
104.24.146.95,4,4,0.00,2.94,0.00,N/A
172.67.214.180,4,4,0.00,2.97,0.00,N/A
172.67.133.75,4,4,0.00,2.97,0.00,N/A
104.21.219.170,4,4,0.00,2.98,0.00,N/A
198.41.194.133,4,4,0.00,2.98,0.00,N/A
172.66.142.195,4,4,0.00,2.98,0.00,N/A
104.27.12.234,4,4,0.00,2.98,0.00,N/A
172.67.83.15,4,4,0.00,2.99,0.00,N/A
104.24.170.244,4,4,0.00,2.99,0.00,N/A
104.24.32.184,4,4,0.00,3.00,0.00,N/A
198.41.192.126,4,4,0.00,3.00,0.00,N/A
104.27.8.1,4,4,0.00,3.01,0.00,N/A
104.27.13.183,4,4,0.00,3.02,0.00,N/A
104.24.129.116,4,4,0.00,3.04,0.00,N/A
172.66.140.182,4,4,0.00,3.04,0.00,N/A
104.24.37.38,4,4,0.00,3.05,0.00,N/A
172.67.90.95,4,4,0.00,3.05,0.00,N/A
172.66.137.209,4,4,0.00,3.07,0.00,N/A
108.162.194.164,4,4,0.00,3.12,0.00,N/A
172.66.131.70,4,4,0.00,3.12,0.00,N/A
104.24.165.30,4,4,0.00,3.13,0.00,N/A
104.27.10.204,4,4,0.00,3.14,0.00,N/A
104.24.162.86,4,4,0.00,3.14,0.00,N/A
104.24.187.234,4,4,0.00,3.14,0.00,N/A
104.24.178.120,4,4,0.00,3.15,0.00,N/A
108.162.196.229,4,4,0.00,3.15,0.00,N/A
104.24.36.7,4,4,0.00,3.15,0.00,N/A
141.101.113.183,4,4,0.00,3.16,0.00,N/A
104.24.152.46,4,4,0.00,3.16,0.00,N/A
104.24.35.227,4,4,0.00,3.17,0.00,N/A
104.24.144.152,4,4,0.00,3.18,0.00,N/A
104.24.34.4,4,4,0.00,3.18,0.00,N/A
198.41.208.243,4,4,0.00,3.20,0.00,N/A
172.67.88.33,4,4,0.00,3.20,0.00,N/A
172.66.146.83,4,4,0.00,3.21,0.00,N/A
104.24.176.38,4,4,0.00,3.21,0.00,N/A
104.27.15.170,4,4,0.00,3.23,0.00,N/A
172.66.162.103,4,4,0.00,3.23,0.00,N/A
104.24.33.208,4,4,0.00,3.24,0.00,N/A
104.24.177.64,4,4,0.00,3.24,0.00,N/A
104.21.217.146,4,4,0.00,3.26,0.00,N/A
104.24.40.189,4,4,0.00,3.26,0.00,N/A
172.66.215.46,4,4,0.00,3.27,0.00,N/A
104.24.39.247,4,4,0.00,3.28,0.00,N/A
104.21.215.142,4,4,0.00,3.31,0.00,N/A
172.66.217.164,4,4,0.00,3.33,0.00,N/A
104.24.151.248,4,4,0.00,3.33,0.00,N/A
104.24.150.6,4,4,0.00,3.34,0.00,N/A
108.162.192.248,4,4,0.00,3.36,0.00,N/A
172.66.211.29,4,4,0.00,3.37,0.00,N/A
172.66.212.200,4,4,0.00,3.37,0.00,N/A
172.66.216.59,4,4,0.00,3.37,0.00,N/A
172.66.145.32,4,4,0.00,3.39,0.00,N/A
104.24.41.95,4,4,0.00,3.40,0.00,N/A
141.101.122.206,4,4,0.00,3.40,0.00,N/A
108.162.193.92,4,4,0.00,3.41,0.00,N/A
172.67.117.214,4,4,0.00,3.42,0.00,N/A
162.159.235.16,4,4,0.00,3.44,0.00,N/A
104.24.163.59,4,4,0.00,3.44,0.00,N/A
172.67.145.200,4,4,0.00,3.45,0.00,N/A
104.24.181.5,4,4,0.00,3.45,0.00,N/A
172.67.154.33,4,4,0.00,3.46,0.00,N/A
172.67.206.157,4,4,0.00,3.46,0.00,N/A
172.66.172.145,4,4,0.00,3.47,0.00,N/A
172.66.206.240,4,4,0.00,3.47,0.00,N/A
104.24.180.77,4,4,0.00,3.47,0.00,N/A
172.66.202.148,4,4,0.00,3.48,0.00,N/A
172.66.214.168,4,4,0.00,3.49,0.00,N/A
104.24.186.121,4,4,0.00,3.49,0.00,N/A
172.66.170.17,4,4,0.00,3.50,0.00,N/A
172.66.203.169,4,4,0.00,3.51,0.00,N/A
104.24.188.82,4,4,0.00,3.52,0.00,N/A
104.24.172.236,4,4,0.00,3.52,0.00,N/A
104.27.29.175,4,4,0.00,3.52,0.00,N/A
172.66.148.21,4,4,0.00,3.55,0.00,N/A
141.101.121.123,4,4,0.00,3.55,0.00,N/A
104.27.127.125,4,4,0.00,3.55,0.00,N/A
104.24.184.153,4,4,0.00,3.56,0.00,N/A
104.24.154.35,4,4,0.00,3.58,0.00,N/A
104.24.167.75,4,4,0.00,3.59,0.00,N/A
104.24.160.221,4,4,0.00,3.59,0.00,N/A
104.24.169.206,4,4,0.00,3.62,0.00,N/A
172.66.149.200,4,4,0.00,3.63,0.00,N/A
104.27.31.48,4,4,0.00,3.63,0.00,N/A
104.27.126.151,4,4,0.00,3.63,0.00,N/A
162.159.15.89,4,4,0.00,3.64,0.00,N/A
172.66.147.245,4,4,0.00,3.65,0.00,N/A
104.24.185.59,4,4,0.00,3.68,0.00,N/A
172.66.209.35,4,4,0.00,3.71,0.00,N/A
162.159.16.194,4,4,0.00,3.71,0.00,N/A
